MoodyLyrics: A music dataset annotated in 4 categories based on Valence and Arousal values of lyrics words,,,,,
,,,,,
Created by:,,,,,
Erion Çano  (erion.cano@polito.it),,,,,
"Polytechnic University of Turin, Department of Control and Computer Engineering",,,,,
,,,,,
Citation and further information:,,,,,
"Çano, E.; Morisio, M. “MoodyLyrics: A Sentiment Annotated Lyrics Dataset"". 2017 International Conference on  ",,,,,
"Intelligent Systems, Metaheuristics & Swarm Intelligence, Hong Kong, March 2017",,,,,
,,,,,
All song lyrics were collected from lyrics.wikia.com and removed to comply with copyright regulations,,,,,
,,,,,
Description:,,,,,
"Song Index ; Artist; Song Title;  Annotaton (happy - Q1, angry - Q2, sad - Q3, relaxed - Q4)",,,,,
,,,,,
Index,Artist,Title,Mood,,
ML1,Usher,There Goes My Baby,relaxed,,
ML2,Da'Ville,On My Mind,relaxed,,
ML3,Rihanna,Rockstar 101 ,relaxed,,
ML4,J. Holiday,Bed,relaxed,,
ML5,Morgan Heritage,Don't Haffi Dread,angry,,
ML6,Whitney Houston,My Love Is Your Love,happy,,
ML7,Serani,Study People,angry,,
ML8,Austra,Spellwork,angry,,
ML9,Coro,Can't Let You Go,happy,,
ML10,Beenie Man,Slam,relaxed,,
ML11,Deitrick Haddon,Love Him Like I Do ,happy,,
ML12,The Jackson 5,ABC,relaxed,,
ML13,Maysa,The Lady In My Life,happy,,
ML14,Ryan Shaw,We Got Love,happy,,
ML15,The Paris Sisters,I Love How You Love Me,happy,,
ML16,New Direction,I Came To Jesus,sad,,
ML17,Kurt Carr & The Kurt Carr Singers,God Great God,happy,,
ML18,Kenny Lattimore,And I Love Her,happy,,
ML19,Jordin Sparks,Battlefield,angry,,
ML20,Spoon,You Got Yr. Cherry Bomb,angry,,
ML21,Tarralyn Ramsey,Peace Of God,relaxed,,
ML22,Tyrese,One,relaxed,,
ML23,Dr. Dog,Where'd All The Time Go?,sad,,
ML24,Tarralyn Ramsey,Unconditional Love,happy,,
ML25,Kool & The Gang,Steppin' Into Love,happy,,
ML26,Anders Osborne,Darkness At The Bottom,sad,,
ML27,The Rolling Stones,Gimme Shelter,angry,,
ML28,The Rolling Stones,Happy,happy,,
ML29,Bobby Bare,Detroit City,relaxed,,
ML30,Gene Watson,Got No Reason Now For Goin' Home,relaxed,,
ML31,George Strait,El Rey,sad,,
ML32,Playing For Change,Don't Worry,relaxed,,
ML33,The Rolling Stones,Melody,relaxed,,
ML34,Stars,Fixed,sad,,
ML35,Glasser,Home,relaxed,,
ML36,Betty Wright,Where Is The Love,happy,,
ML37,Mavis Staples,You Are Not Alone,angry,,
ML38,The Rolling Stones,Not Fade Away,happy,,
ML39,The Beach Boys,God Only Knows,happy,,
ML40,Korn,Blind,sad,,
ML41,Megadeth,Angry Again,angry,,
ML42,Ra,Do You Call My Name,angry,,
ML43,Avenged Sevenfold,Nightmare,angry,,
ML44,Mudvayne,Scream With Me,angry,,
ML45,Static-X,Dirthouse,sad,,
ML46,Metallica,Cyanide,sad,,
ML47,Green Day,Longview,sad,,
ML48,Nirvana,Rape Me,angry,,
ML49,Marilyn Manson,Sweet Dreams ,angry,,
ML50,Staind,Mudshovel,angry,,
ML51,Pantera,This Love,happy,,
ML52,Chevelle,Send The Pain Below,angry,,
ML53,The Red Hot Chili Peppers,Scar Tissue,sad,,
ML54,Metallica,Harvester Of Sorrow,angry,,
ML55,Guns N' Roses,Civil War,angry,,
ML56,Shadows Fall,King Of Nothing,angry,,
ML57,Comeback Kid,Do Yourself A Favor,sad,,
ML58,Rob Zombie,Superbeast,sad,,
ML59,Pearl Jam,Why Go,relaxed,,
ML60,Scorpions,Rock You Like A Hurricane,angry,,
ML61,Nine Inch Nails,Terrible Lie,angry,,
ML62,Stone Temple Pilots,Wicked Garden,angry,,
ML63,Smashing Pumpkins,Bullet With Butterfly Wings,angry,,
ML64,Nirvana,Come As You Are,angry,,
ML65,Black Sabbath,War Pigs,angry,,
ML66,Korn,Everything I've Known,angry,,
ML67,Disturbed,Indestructible,angry,,
ML68,Three Days Grace,Riot,angry,,
ML69,Dierks Bentley,Free And Easy ,relaxed,,
ML70,Kenny Chesney,When The Sun Goes Down ,relaxed,,
ML71,Zac Brown Band,Free,relaxed,,
ML72,Frankie Ballard,Tell Me You Get Lonely,sad,,
ML73,Faith Hill,The Way You Love Me,happy,,
ML74,Blake Shelton,Home,relaxed,,
ML75,Josh Turner,Your Man,relaxed,,
ML76,Alice Cooper,Welcome To My Nightmare,angry,,
ML77,Led Zeppelin,Rock And Roll,sad,,
ML78,Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry,,
ML79,Jonny Lang,Lie To Me,angry,,
ML80,The Doors,Love Her Madly,happy,,
ML81,Eric Clapton,Cocaine,angry,,
ML82,Robert Cray,Smoking Gun,angry,,
ML83,Jefferson Airplane,Somebody To Love,happy,,
ML84,Supertramp,Bloody Well Right,angry,,
ML85,Ted Nugent,Cat Scratch Fever,sad,,
ML86,Alice Cooper,No More Mr. Nice Guy,sad,,
ML87,Neil Young,Heart Of Gold,happy,,
ML88,Boston,Let Me Take You Home Tonight,relaxed,,
ML89,Scorpions,Still Loving You,happy,,
ML90,The Doors,Light My Fire,angry,,
ML91,Night Ranger,Don't Tell Me You Love Me,happy,,
ML92,Lynyrd Skynyrd,That Smell,sad,,
ML93,Pat Benatar,Hit Me With Your Best Shot,angry,,
ML94,Guns N' Roses,Paradise City,relaxed,,
ML95,Yes,I've Seen All Good People,relaxed,,
ML96,Motley Crue,Home Sweet Home,relaxed,,
ML97,Lynyrd Skynyrd,You Got That Right,angry,,
ML98,Bad Company,Feel Like Makin' Love,happy,,
ML99,Jethro Tull,Locomotive Breath,sad,,
ML100,Bad Company,Can't Get Enough,happy,,
ML101,The Who,Love Reign O'er Me,relaxed,,
ML102,Billy Squier,In The Dark,sad,,
ML103,Pink Floyd,One Of These Days,sad,,
ML104,Van Halen,Runnin' With The Devil,angry,,
ML105,David Bowie,Fame,happy,,
